,geometry,fault_count,GiZScore,GiPValue
583,"POLYGON ((-0.2580867066802814 51.32438725542417, -0.2580867066802814 51.37438725542417, -0.3080867066802814 51.37438725542417, -0.3080867066802814 51.32438725542417, -0.2580867066802814 51.32438725542417))",367.0,-0.0272690833910909,0.378
584,"POLYGON ((-0.2580867066802814 51.37438725542417, -0.2580867066802814 51.42438725542416, -0.3080867066802814 51.42438725542416, -0.3080867066802814 51.37438725542417, -0.2580867066802814 51.37438725542417))",685.0,-0.05302004622079074,0.399
585,"POLYGON ((-0.2580867066802814 51.42438725542416, -0.2580867066802814 51.47438725542416, -0.3080867066802814 51.47438725542416, -0.3080867066802814 51.42438725542416, -0.2580867066802814 51.42438725542416))",477.0,0.5409892931557706,0.163
587,"POLYGON ((-0.2580867066802814 51.52438725542416, -0.2580867066802814 51.57438725542416, -0.3080867066802814 51.57438725542416, -0.3080867066802814 51.52438725542416, -0.2580867066802814 51.52438725542416))",1093.0,1.8505304243576834,0.058
588,"POLYGON ((-0.2580867066802814 51.57438725542416, -0.2580867066802814 51.62438725542415, -0.3080867066802814 51.62438725542415, -0.3080867066802814 51.57438725542416, -0.2580867066802814 51.57438725542416))",1261.0,1.4722779349954591,0.078
590,"POLYGON ((-0.2580867066802814 51.67438725542415, -0.2580867066802814 51.72438725542415, -0.3080867066802814 51.72438725542415, -0.3080867066802814 51.67438725542415, -0.2580867066802814 51.67438725542415))",194.0,,0.001
595,"POLYGON ((-0.2580867066802814 51.92438725542414, -0.2580867066802814 51.97438725542413, -0.3080867066802814 51.97438725542413, -0.3080867066802814 51.92438725542414, -0.2580867066802814 51.92438725542414))",413.0,,0.001
598,"POLYGON ((-0.2580867066802814 52.07438725542413, -0.2580867066802814 52.12438725542412, -0.3080867066802814 52.12438725542412, -0.3080867066802814 52.07438725542413, -0.2580867066802814 52.07438725542413))",411.0,0.28961163933186335,0.215
599,"POLYGON ((-0.2580867066802814 52.12438725542412, -0.2580867066802814 52.17438725542412, -0.3080867066802814 52.17438725542412, -0.3080867066802814 52.12438725542412, -0.2580867066802814 52.12438725542412))",574.0,0.049429952558124005,0.32
600,"POLYGON ((-0.2580867066802814 52.17438725542412, -0.2580867066802814 52.22438725542412, -0.3080867066802814 52.22438725542412, -0.3080867066802814 52.17438725542412, -0.2580867066802814 52.17438725542412))",524.0,0.2901189595829221,0.212
602,"POLYGON ((-0.2580867066802814 52.27438725542412, -0.2580867066802814 52.32438725542411, -0.3080867066802814 52.32438725542411, -0.3080867066802814 52.27438725542412, -0.2580867066802814 52.27438725542412))",96.0,,0.001
